"grade","rank","math","verbal","prev","rdg","father","mother","gender"
1,0.841121495327103,580,490,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.586206896551724,520,350,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.685990338164251,460,440,FALSE,"Never","Some College","Some College","Male"
1,0.8,420,410,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.857142857142857,540,600,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.58411214953271,470,460,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.864485981308411,520,450,FALSE,"Never","Bachelor Degree","Some High School","Male"
1,0.97530864197531,670,610,FALSE,"Never","Some College","Some College","Female"
1,0.306479859894921,480,610,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Male"
0,0.693735498839907,480,450,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.557086614173228,500,410,FALSE,"Never","High School Diploma or GED","Associate/two-year degree","Male"
1,0.775280898876405,410,370,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.888888888888889,460,430,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.37551867219917,430,510,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.37551867219917,430,510,TRUE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.972972972972973,650,650,FALSE,"Never","Some College","Some College","Male"
1,0.854545454545454,630,500,FALSE,"Never","Some College","Some College","Female"
0,0.628571428571429,490,320,FALSE,"Never","No High School","No High School","Female"
0,0.628571428571429,490,320,TRUE,"Never","No High School","No High School","Female"
1,0.95,640,500,FALSE,"Never","Some College","Some College","Male"
0,0.385714285714286,460,320,FALSE,"Never","Some High School","Some College","Male"
1,0.385714285714286,460,320,TRUE,"Never","Some High School","Some College","Male"
0,0.336448598130841,440,550,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.888888888888889,490,440,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.735498839907193,500,480,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
1,0.869158878504673,450,600,FALSE,"Never","No High School","High School Diploma or GED","Female"
1,0.653631284916201,460,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.777777777777778,560,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.8,480,490,FALSE,"Never","Some College","Some College","Female"
1,0.773076923076923,470,550,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.401260504201681,560,430,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.863636363636364,380,610,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.78193832599119,540,500,FALSE,"Never","Some College","Some College","Female"
1,0.948339483394834,490,540,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.832727272727273,570,430,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.56043956043956,440,440,FALSE,"Never","No High School","No High School","Female"
0,0.0954415954415955,510,610,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.88631090487239,520,660,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.901041666666667,530,510,FALSE,"Never","Some College","Some College","Female"
1,0.713513513513514,360,380,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.943661971830986,620,520,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.91304347826087,510,560,FALSE,"Never","Some College","Some College","Female"
0,0.752508361204013,550,440,FALSE,"Never","Some College","Some College","Male"
0,0.24235807860262,530,510,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.198795180722892,560,510,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.481481481481482,360,400,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
1,0.756410256410256,400,400,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.544392523364486,490,650,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
1,0.544392523364486,490,650,TRUE,"Never","Bachelor Degree","High School Diploma or GED","Male"
0,0.804824561403509,510,600,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.441860465116279,560,550,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.976076555023923,400,530,FALSE,"Never","Some High School","High School Diploma or GED","Female"
1,0.583596214511041,510,420,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.796052631578947,570,550,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.769230769230769,500,500,FALSE,"Never","Associate/two-year degree","High School Diploma or GED","Female"
0,0.837837837837838,480,500,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.663636363636364,510,600,FALSE,"Never","Some College","Some College","Male"
0,0.611940298507463,440,510,FALSE,"Concurrent","High School Diploma or GED","Bachelor Degree","Male"
1,0.716666666666667,380,350,FALSE,"Never","Some High School","No High School","Female"
1,0.690721649484536,420,400,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.450549450549451,560,510,FALSE,"Never","Not Available","Not Available","Male"
0,0.772727272727273,500,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.696551724137931,540,460,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.620192307692308,460,400,FALSE,"Never","Not Available","Not Available","Female"
1,0.87962962962963,600,540,FALSE,"Never","Not Available","Bachelor Degree","Male"
0,0.755555555555556,480,440,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Male"
1,0.834586466165414,600,580,FALSE,"Never","High School Diploma or GED","Some College","Male"
0,0.682191780821918,390,390,FALSE,"Never","Some High School","High School Diploma or GED","Female"
0,0.739750445632799,580,460,FALSE,"Never","Some College","Some College","Female"
1,0.965174129353234,600,550,FALSE,"Never","Not Available","Not Available","Female"
1,0.416058394160584,530,710,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.714285714285714,440,340,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.7744,440,470,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.636363636363636,580,480,FALSE,"Never","Some College","Some College","Male"
1,0.85679012345679,600,540,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.317460317460317,500,450,FALSE,"Never","Graduate/Professional degree","Some College","Male"
1,0.671052631578947,470,430,FALSE,"Never","Graduate/Professional degree","Some College","Female"
1,0.842857142857143,430,510,FALSE,"Never","Some College","Some College","Female"
1,0.705314009661836,430,450,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.6528,460,400,FALSE,"Never","Some College","Some College","Female"
1,0.4609375,440,510,FALSE,"Never","Some College","Some High School","Female"
1,0.657894736842105,550,410,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.823529411764706,570,560,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.700680272108844,550,470,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.397142857142857,500,540,FALSE,"Never","Some College","Some College","Male"
1,0.751111111111111,420,450,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.724444444444444,500,370,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.625,440,340,FALSE,"Never","No High School","High School Diploma or GED","Male"
1,0.923593618807725,600,620,FALSE,"Never","Some College","Some College","Female"
0,0.63076923076923,500,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.69406392694064,550,430,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.380252100840336,510,460,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.787644787644788,530,400,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.571428571428571,620,610,FALSE,"Never","Some College","Some College","Female"
1,0.563380281690141,440,550,FALSE,"Never","Some College","Some College","Female"
0,0.64963503649635,500,670,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.64963503649635,500,670,TRUE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.626086956521739,480,540,FALSE,"Never","Graduate/Professional degree","Some College","Male"
0,0.536585365853659,530,390,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.84375,560,540,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.9453125,570,510,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.31496062992126,510,480,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.313531353135314,470,500,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.426934097421203,500,560,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.769230769230769,500,680,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.769230769230769,470,600,FALSE,"Never","Some College","Some College","Female"
0,0.631858407079646,560,580,FALSE,"Never","Some College","Some College","Female"
0,0.723577235772358,430,430,FALSE,"Never","Some College","Some College","Female"
1,0.828571428571429,540,400,FALSE,"Never","Not Available","Not Available","Female"
0,0.671428571428571,440,530,FALSE,"Never","Some College","High School Diploma or GED","Male"
1,0.62962962962963,520,490,FALSE,"Never","Some College","Some College","Male"
1,0.795724465558195,650,580,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
0,0.645687645687646,510,410,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.62876254180602,440,360,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.682299546142209,520,390,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.965675057208238,560,540,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.965675057208238,560,540,TRUE,"Never","Some College","Bachelor Degree","Female"
1,0.841666666666667,570,520,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Male"
0,0.541935483870968,330,460,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.684807256235828,500,480,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.844827586206897,540,550,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.968586387434555,610,570,FALSE,"Never","Some College","Some College","Female"
1,0.876288659793814,460,500,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.909090909090909,530,440,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
1,0.9375,560,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.992805755395683,560,690,FALSE,"Never","Graduate/Professional degree","Some College","Female"
1,0.700934579439252,530,400,FALSE,"Passed","Bachelor Degree","Some College","Female"
1,0.807387862796834,520,620,FALSE,"Never","Some College","Some College","Female"
1,0.8,520,650,FALSE,"Never","Not Available","Not Available","Female"
1,0.531697341513292,390,410,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.89041095890411,460,450,FALSE,"Never","Some College","Some College","Female"
1,0.8,500,490,FALSE,"Never","Not Available","Not Available","Male"
0,0.682134570765661,500,570,FALSE,"Never","Some College","Some College","Female"
1,0.82051282051282,520,550,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.74917491749175,670,580,FALSE,"Never","Graduate/Professional degree","Some College","Female"
0,0.791666666666667,470,430,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.791666666666667,470,430,TRUE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.828920570264766,600,630,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.177570093457944,530,490,FALSE,"Never","Graduate/Professional degree","Some High School","Male"
1,0.55011655011655,530,470,FALSE,"Never","Some College","Some College","Female"
0,0.468325791855204,470,410,FALSE,"Never","Some College","Some College","Female"
0,0.623076923076923,390,390,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.83103448275862,530,490,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.489583333333333,530,450,FALSE,"Concurrent","Bachelor Degree","Bachelor Degree","Female"
1,0.45,410,510,FALSE,"Never","Not Available","High School Diploma or GED","Male"
1,0.904645476772616,540,470,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.569296375266525,440,380,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.813725490196078,600,540,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.666666666666667,460,420,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.569444444444444,460,410,FALSE,"Never","Some College","Some College","Female"
0,0.789473684210526,440,590,FALSE,"Never","Not Available","Some High School","Female"
1,0.789473684210526,440,590,TRUE,"Never","Not Available","Some High School","Female"
0,0.508695652173913,460,370,FALSE,"Never","Some College","Some College","Male"
0,0.508695652173913,460,370,TRUE,"Never","Some College","Some College","Male"
0,0.675925925925926,500,380,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.857142857142857,520,510,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.470588235294118,390,480,FALSE,"Never","Some College","Some College","Female"
0,0.518716577540107,390,440,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.961538461538462,580,640,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.785714285714286,620,410,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.429652042360060,490,630,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.509345794392523,620,450,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Male"
0,0.724299065420561,500,410,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.554455445544555,680,500,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.661538461538462,430,400,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.647058823529412,420,410,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.139028475711893,410,540,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Male"
1,0.874074074074074,600,650,FALSE,"Never","Bachelor Degree","Some College","Male"
0,0.512820512820513,440,390,FALSE,"Never","Not Available","Not Available","Male"
0,0.865979381443299,450,530,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.775510204081633,450,550,FALSE,"Never","Some High School","Graduate/Professional degree","Female"
1,0.75,610,610,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.888283378746594,530,440,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.74245939675174,540,470,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.837962962962963,440,350,FALSE,"Never","Some High School","High School Diploma or GED","Female"
0,0.814385150812065,490,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.873831775700935,560,620,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Male"
1,0.795918367346939,430,480,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.588427947598253,370,450,FALSE,"Never","Some College","Some College","Male"
1,0.761061946902655,510,450,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.969465648854962,560,660,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.987654320987654,580,590,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.75,600,480,FALSE,"Never","Some College","Some College","Male"
0,0.929530201342282,500,430,FALSE,"Never","Some College","Some College","Male"
0,0.7751677852349,440,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.471947194719472,420,490,FALSE,"Never","Some College","Some College","Female"
0,0.160092807424594,360,670,FALSE,"Never","Some College","Some High School","Female"
0,0.160092807424594,360,670,TRUE,"Never","Some College","Some High School","Female"
0,0.740740740740741,440,310,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.463157894736842,500,530,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.463157894736842,500,530,TRUE,"Never","High School Diploma or GED","Bachelor Degree","Male"
0,0.52054794520548,410,450,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.786764705882353,450,540,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.610451306413302,450,470,FALSE,"Never","Some College","Some College","Female"
1,0.74537037037037,470,430,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.68421052631579,560,510,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
0,0.80952380952381,450,460,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.923076923076923,720,460,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.870967741935484,540,490,FALSE,"Never","Not Available","Not Available","Female"
1,0.609625668449198,550,530,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.633423180592992,390,420,FALSE,"Never","Some High School","Some College","Female"
1,0.320754716981132,450,550,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.773584905660377,490,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.88,520,510,FALSE,"Never","Some High School","High School Diploma or GED","Female"
1,0.638051044083527,540,460,FALSE,"Never","Not Available","Not Available","Female"
1,0.790697674418605,410,400,FALSE,"Never","Some College","Some College","Female"
0,0.665369649805448,490,410,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.723004694835681,550,560,FALSE,"Never","Not Available","Not Available","Female"
1,0.954773869346734,570,460,FALSE,"Never","Bachelor Degree","Some College","Female"
0,0.6309963099631,390,440,FALSE,"Never","Not Available","Not Available","Female"
0,0.510638297872340,420,490,FALSE,"Never","Some College","Some College","Male"
1,0.25,420,570,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.505,430,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.505,430,470,TRUE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.826086956521739,360,510,FALSE,"Never","Not Available","Not Available","Female"
0,0.804195804195804,440,540,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.764705882352941,550,470,FALSE,"Never","Bachelor Degree","Some College","Male"
1,0.642857142857143,390,380,FALSE,"Concurrent","Some High School","Graduate/Professional degree","Female"
1,0.823008849557522,530,460,FALSE,"Never","Some College","Graduate/Professional degree","Male"
1,0.62874251497006,480,510,FALSE,"Never","Some College","Bachelor Degree","Female"
1,0.673758865248227,540,570,FALSE,"Never","Not Available","Not Available","Female"
1,0.96,620,500,FALSE,"Never","Not Available","Not Available","Female"
0,0.7196261682243,530,420,FALSE,"Passed","Some College","High School Diploma or GED","Male"
1,0.95049504950495,680,580,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.541666666666667,490,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.814432989690722,480,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.294117647058823,590,550,FALSE,"Never","Not Available","Not Available","Male"
1,0.366666666666667,470,390,FALSE,"Never","Not Available","Not Available","Male"
1,0.427397260273973,550,500,FALSE,"Never","High School Diploma or GED","Some College","Male"
0,0.0583941605839416,440,430,FALSE,"Never","Graduate/Professional degree","Some College","Male"
1,0.495327102803738,320,360,FALSE,"Never","High School Diploma or GED","Some High School","Female"
0,0.320284697508897,460,490,FALSE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
0,0.320284697508897,460,490,TRUE,"Never","Graduate/Professional degree","Bachelor Degree","Female"
0,0.403846153846154,510,380,FALSE,"Passed","Some College","Bachelor Degree","Male"
0,0.161716171617162,520,520,FALSE,"Never","Some College","Graduate/Professional degree","Male"
1,0.605633802816901,520,470,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.584615384615385,440,490,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.584615384615385,440,490,TRUE,"Never","High School Diploma or GED","Some College","Female"
0,0.413793103448276,510,530,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Male"
1,0.657534246575342,340,470,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.591497227356747,530,460,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
1,0.831111111111111,590,440,FALSE,"Never","Some College","Some College","Female"
1,0.87037037037037,560,510,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.794736842105263,510,420,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.70921052631579,480,430,FALSE,"Never","Some College","Some College","Female"
1,0.66006600660066,490,580,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.742424242424242,500,490,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.588785046728972,580,530,FALSE,"Never","Some College","Graduate/Professional degree","Male"
0,0.571428571428571,540,490,FALSE,"Never","Not Available","Some College","Male"
0,0.511682242990654,390,440,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.437837837837838,440,470,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.868983957219251,410,450,FALSE,"Never","Some College","Some College","Female"
1,0.906735751295337,480,470,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.463722397476341,640,560,FALSE,"Never","Graduate/Professional degree","Some College","Male"
1,0.628571428571429,520,430,FALSE,"Never","Some College","Some College","Male"
0,0.775510204081633,510,450,FALSE,"Never","Bachelor Degree","Some College","Female"
1,0.62992125984252,480,430,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.634146341463415,580,570,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.634146341463415,580,570,TRUE,"Never","Some College","Bachelor Degree","Male"
1,0.791304347826087,570,600,TRUE,"Never","Some College","Bachelor Degree","Female"
0,0.807692307692308,520,510,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
0,0.569160997732426,470,530,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.569160997732426,470,530,TRUE,"Never","Some College","High School Diploma or GED","Female"
0,0.510416666666667,440,500,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.790322580645161,500,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.808888888888889,510,490,FALSE,"Never","Some College","High School Diploma or GED","Female"
1,0.849514563106796,500,480,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.472222222222222,420,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.804093567251462,470,500,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.517311608961303,420,410,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
0,0.713286713286713,440,450,FALSE,"Never","Some College","Some College","Female"
0,0.713286713286713,440,450,TRUE,"Never","Some College","Some College","Female"
0,0.697674418604651,480,430,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.905172413793103,510,620,FALSE,"Never","Some College","Some College","Female"
1,0.865454545454545,530,500,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.591647331786543,520,560,FALSE,"Never","Not Available","Some High School","Female"
0,0.707317073170732,420,450,FALSE,"Never","High School Diploma or GED","No High School","Female"
1,0.568965517241379,470,320,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.75974025974026,640,530,FALSE,"Never","Some High School","High School Diploma or GED","Male"
1,0.517105263157895,560,500,FALSE,"Never","Some College","Some College","Female"
0,0.92,620,610,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.453271028037383,370,410,FALSE,"Never","High School Diploma or GED","Some High School","Female"
1,0.928888888888889,590,560,FALSE,"Never","Some College","Some College","Female"
1,0.708333333333333,390,350,FALSE,"Never","Some High School","No High School","Female"
0,0.537037037037037,480,390,FALSE,"Never","High School Diploma or GED","Some College","Male"
0,0.780538302277433,490,450,FALSE,"Never","High School Diploma or GED","Some College","Female"
1,0.645374449339207,540,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.766169154228856,440,420,FALSE,"Never","Some College","Some College","Female"
1,0.875,330,410,FALSE,"Never","No High School","No High School","Female"
1,0.666666666666667,450,450,FALSE,"Concurrent","Some College","Bachelor Degree","Male"
1,0.92517006802721,450,510,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
0,0.383177570093458,460,480,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.383177570093458,460,480,TRUE,"Never","Some College","High School Diploma or GED","Male"
1,0.721739130434783,490,380,FALSE,"Never","Some College","Bachelor Degree","Male"
0,0.656521739130435,550,520,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
0,0.665217391304348,470,510,FALSE,"Never","High School Diploma or GED","Graduate/Professional degree","Female"
1,0.821739130434783,570,570,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.830434782608696,580,570,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.705882352941176,620,500,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.759398496240602,500,570,FALSE,"Never","Graduate/Professional degree","Graduate/Professional degree","Female"
1,0.699152542372881,420,450,FALSE,"Never","High School Diploma or GED","Some College","Female"
0,0.576446280991736,420,360,FALSE,"Never","Some College","Some College","Female"
0,0.576446280991736,420,360,TRUE,"Never","Some College","Some College","Female"
0,0.63036303630363,560,520,FALSE,"Never","Some College","Some College","Male"
1,0.63036303630363,560,520,TRUE,"Never","Some College","Some College","Male"
1,0.432343234323432,440,490,FALSE,"Never","Some College","Some College","Female"
1,0.722522522522522,490,420,FALSE,"Never","Some College","Some College","Female"
1,0.772609819121447,510,500,FALSE,"Never","High School Diploma or GED","Some College","Male"
1,0.832098765432099,380,390,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.636363636363636,500,430,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
0,0.547861507128309,390,480,FALSE,"Passed","High School Diploma or GED","Some College","Male"
0,0.763636363636364,460,320,FALSE,"Concurrent","Graduate/Professional degree","Bachelor Degree","Male"
1,0.470494417862839,550,460,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.734491315136476,530,330,FALSE,"Never","Some College","High School Diploma or GED","Female"
0,0.551724137931034,510,510,FALSE,"Never","Some College","High School Diploma or GED","Male"
0,0.379679144385027,630,470,FALSE,"Never","Some College","Graduate/Professional degree","Male"
1,0.90506329113924,610,480,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.200934579439252,540,690,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Male"
1,0.591549295774648,390,420,FALSE,"Never","Some College","Graduate/Professional degree","Female"
1,0.967741935483871,610,680,FALSE,"Never","Some College","Bachelor Degree","Female"
0,0.640552995391705,480,470,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.70404984423676,460,410,FALSE,"Never","Some College","Some College","Male"
1,0.514285714285714,420,460,FALSE,"Never","Bachelor Degree","Bachelor Degree","Male"
1,0.562955254942768,490,490,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
1,0.556140350877193,530,420,FALSE,"Never","Bachelor Degree","Graduate/Professional degree","Female"
0,0.54875283446712,460,510,FALSE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.54875283446712,460,510,TRUE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.54875283446712,460,510,TRUE,"Never","High School Diploma or GED","Bachelor Degree","Female"
0,0.439393939393939,540,450,FALSE,"Passed","Not Available","Some High School","Male"
0,0.546296296296296,400,360,FALSE,"Never","Some High School","Some College","Male"
1,0.60377358490566,490,450,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
0,0.758835758835759,500,560,FALSE,"Never","Not Available","Not Available","Female"
0,0.166666666666667,520,440,FALSE,"Never","Some College","Some College","Female"
0,0.801089918256131,420,360,FALSE,"Never","Bachelor Degree","High School Diploma or GED","Female"
0,0.75686274509804,340,350,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Male"
1,0.474358974358974,560,400,FALSE,"Never","Bachelor Degree","Bachelor Degree","Female"
1,0.799559471365639,520,550,FALSE,"Never","High School Diploma or GED","High School Diploma or GED","Female"
1,0.882640586797066,470,450,FALSE,"Never","Some College","Some College","Female"
